,drama_tags_list
0,/16955-the-whirlwind-girl-2
1,/52897-lovely-us
2,/7327-who-are-you-2013
3,/23949-my-golden-life
4,/25733-jugglers
5,/26760-the-legends
6,/31318-spring-flower-autumn-moon
7,/30619-before-we-get-married
8,/16977-man-to-man
9,/53101-missing
10,/30468-masquerade
11,/90-stars-falling-from-the-sky
12,/34088-the-killing-of-three-thousand-crows
13,/23492-cambrian-period
14,/30894-romance-is-a-bonus-book
15,/5626-flower-boy-next-door
16,/50943-soul-repairer
17,/32592-why-r-u-the-series
18,/34129-my-roommate-is-a-detective
19,/57159-the-guy-is-that-guy
20,/49215-girlfriend
21,/70629-the-sweet-blood
22,/54121-gen-y
23,/32804-my-girlfriend-is-an-alien
24,/15062-oh-my-venus
25,/17213-lucky-romance
26,/28327-thirty-but-seventeen
27,/15853-missing-9
28,/63483-a-love-so-beautiful
29,/5200-that-winter-the-wind-blows
30,/11582-heart-to-heart
31,/2278-to-the-beautiful-you
32,/5364-missing-you
33,/39181-the-exchange-luck
34,/39715-some-day-or-one-day
35,/3993-ghost-2012
36,/19556-the-legend-of-the-condor-heroes
37,/49953-my-love-enlighten-me
38,/31194-the-prince-of-tennis
39,/58595-when-the-wind-blows-and-dies
40,/61135-don-t-think-of-interrupting-my-studies
41,/75831-imitation
42,/3994-faith
43,/30911-when-camellia-blooms
44,/30362-exclusive-memory
45,/1460-drama-special-series-season-1-white-christmas
46,/19510-romantic-doctor-teacher-kim
47,/10952-ouroboros
48,/24890-what-the-duck-the-series
49,/58693-the-sleepless-princess
50,/2627-zenkai-girl
51,/8912-gap-dong
52,/22671-circle
53,/17399-my-amazing-boyfriend
54,/58565-watashitachi-wa-douka-shiteiru
55,/58953-mouse
56,/39601-i-ll-go-to-you-when-the-weather-is-nice
57,/30561-gank-your-heart
58,/14-bloody-monday
59,/12380-ho-goos-love
60,/20114-oh-my-general
61,/15789-remember-war-of-the-son
62,/31385-put-your-head-on-my-shoulder
63,/22602-suspicious-partner
64,/36267-and-the-winner-is-love
65,/31-my-girlfriend-is-a-gumiho
66,/19856-super-star-academy
67,/62635-oh-my-sweet-liar
68,/34078-reminders
69,/51219-feng-gui-si-shi-ge
70,/31283-doctor-prisoner
71,/22403-chicago-typewriter
72,/15931-hwarang-the-poet-warrior-youth
73,/38907-the-third-princess-from-the-rumors
74,/7352-bel-ami
75,/11844-scholar-who-walks-the-night
76,/58877-kiss-ghost
77,/21576-while-you-were-sleeping
78,/33785-en-of-love
79,/67-dong-yi
80,/4033-prince-of-lan-ling
81,/221-my-lovely-sam-soon
82,/24049-hwayuki
83,/24131-the-first-half-of-my-life
84,/26222-radio-romance
85,/22825-water-boyy-the-series
86,/32879-chocolate
87,/32725-how-boss-wants-to-marry-me
88,/152-a-love-to-kill
89,/33767-crossfire
90,/6535-itazura-na-kiss-love-in-tokyo
91,/2-1-litre-no-namida
92,/20288-lost-love-in-times
93,/28565-the-tale-of-yanxi-palace
94,/2957-in-time-with-you
95,/49481-the-love-by-hypnotic
96,/10904-descendants-of-the-sun
97,/55985-the-moment
